HUNT_YEAR,SPECIES,CI,PROV_FLAG,WMU,REGION,HUNTERS,DAYS,KILLS,MALE_RATIO,FEMALE_RATIO,JUVENILE_RATIO,UNKNOWN_RATIO,KPD,R_NR
1977,GOAT,yes,0,319,3,6,11,0,0,0,0,0,0,R
1977,GOAT,yes,0,328,3,2,8,0,0,0,0,0,0,R
1977,GOAT,yes,0,330,3,2,22,0,0,0,0,0,0,R
1977,GOAT,yes,0,331,3,2,4,0,0,0,0,0,0,R
1977,GOAT,yes,0,332,3,23,78,6,0,0.67,0,0.33,0.076923077,R
1977,GOAT,yes,0,333,3,28,78,6,0.5,0.5,0,0,0.076923077,R
1977,GOAT,yes,0,336,3,4,10,1,0,1,0,0,0.1,R
1977,GOAT,yes,0,339,3,2,6,0,0,0,0,0,0,R
1977,GOAT,yes,0,342,3,2,6,0,0,0,0,0,0,R
1977,GOAT,yes,0,343,3,4,18,0,0,0,0,0,0,R
1977,GOAT,yes,0,344,3,6,28,0,0,0,0,0,0,R
1977,GOAT,yes,0,346,3,2,8,0,0,0,0,0,0,R
1977,GOAT,yes,0,409,4,2,2,0,0,0,0,0,0,R
1977,GOAT,yes,0,421,4,2,2,0,0,0,0,0,0,R
1977,GOAT,yes,0,422,4,5,15,2,0.5,0.5,0,0,0.133333333,R
